Data,latitudine,longitudine,Positivi ultimi 30gg,Deceduti ultimi 30gg,Comune
20210421,39.3315362,16.18041387,417,4,RENDE
20210422,39.3315362,16.18041387,434,4,RENDE
20210423,39.3315362,16.18041387,445,4,RENDE
20210424,39.3315362,16.18041387,433,4,RENDE
20210425,39.3315362,16.18041387,444,4,RENDE
20210426,39.3315362,16.18041387,439,4,RENDE
20210427,39.3315362,16.18041387,410,4,RENDE
20210428,39.3315362,16.18041387,415,4,RENDE
20210429,39.3315362,16.18041387,434,4,RENDE
20210430,39.3315362,16.18041387,423,4,RENDE
20210501,39.3315362,16.18041387,422,3,RENDE
20210502,39.3315362,16.18041387,386,3,RENDE
20210503,39.3315362,16.18041387,383,3,RENDE
20210504,39.3315362,16.18041387,380,1,RENDE
20210505,39.3315362,16.18041387,337,1,RENDE
20210506,39.3315362,16.18041387,337,1,RENDE
20210507,39.3315362,16.18041387,352,1,RENDE
20210508,39.3315362,16.18041387,313,-,RENDE
20210509,39.3315362,16.18041387,312,-,RENDE
20210510,39.3315362,16.18041387,303,-,RENDE
20210511,39.3315362,16.18041387,299,-,RENDE
20210513,39.3315362,16.18041387,301,4,RENDE
20210514,39.3315362,16.18041387,301,4,RENDE
20210515,39.3315362,16.18041387,301,4,RENDE
20210516,39.3315362,16.18041387,301,4,RENDE
20210517,39.3315362,16.18041387,301,4,RENDE
20210518,39.3315362,16.18041387,301,4,RENDE
20210906,39.3315362,16.18041387,42,-,RENDE
20210907,39.3315362,16.18041387,45,-,RENDE
